NinjaScript File,Error,Code,Line,Column,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,25,17,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,27,43,
V12_002\Lifecycle.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,676,39,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,59,67,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,63,57,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,71,35,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,72,35,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,73,35,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,74,35,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,75,35,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,86,69,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,93,63,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,104,36,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,119,31,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,120,31,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,121,31,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,122,31,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,123,31,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,132,31,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,245,93,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,247,93,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,249,93,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,251,93,
V12_002\StickyState.cs,The type or namespace name 'Services' could not be found (are you missing a using directive or an assembly reference?),CS0246,253,93,
V12_002\StickyState.cs,Use of unassigned local variable 'cnt',CS0165,232,65,
V12_002\StickyState.cs,Use of unassigned local variable 't1',CS0165,235,36,
V12_002\StickyState.cs,Use of unassigned local variable 't2',CS0165,237,36,
V12_002\StickyState.cs,Use of unassigned local variable 't3',CS0165,239,36,
V12_002\StickyState.cs,Use of unassigned local variable 't4',CS0165,241,36,
V12_002\StickyState.cs,Use of unassigned local variable 't5',CS0165,243,36,
V12_002\StickyState.cs,Use of unassigned local variable 'str',CS0165,260,48,
V12_002\StickyState.cs,Use of unassigned local variable 'max',CS0165,267,37,
V12_002\StickyState.cs,Use of unassigned local variable 'cit',CS0165,272,42,
V12_002\StickyState.cs,Use of unassigned local variable 'trma',CS0165,275,38,
V12_002\StickyState.cs,Use of unassigned local variable 'rrma',CS0165,278,39,
